City,Beach,Mountain,Avg_Budget_Per_Day_EUR,Budget_Hotel_EUR,Mid_Range_Hotel_EUR,Luxury_Hotel_EUR,Avg_Rating,Avg_Temperature_C,Latitude,Longitude
Amsterdam,0,0,80,60,120,250,4.5,21,52.3676,4.9041
Athens,1,0,60,50,90,220,4.7,33,37.9838,23.7275
Barcelona,1,0,70,45,100,250,4.6,35,41.3851,2.1734
Berlin,0,0,70,40,90,220,4.5,24,52.52,13.405
Brussels,0,0,70,45,110,250,4.3,22,50.8503,4.3517
Budapest,0,0,50,35,80,200,4.4,29,47.4979,19.0402
Copenhagen,1,0,90,60,130,300,4.4,19,55.6761,12.5683
Dublin,1,0,80,50,120,270,4.2,19,53.3498,-6.2603
Florence,0,0,60,50,110,240,4.7,27,43.7696,11.2558
Geneva,0,1,100,80,150,350,4.3,24,46.2044,6.1432
Hamburg,0,0,60,45,100,220,4.1,22,53.5511,9.9937
Lisbon,1,0,65,45,90,200,4.6,28,38.7223,-9.1393
London,0,0,100,60,130,300,4.3,22,51.5074,-0.1278
Luxembourg City,0,0,90,70,150,330,4.2,19,49.6116,6.1319
Madrid,0,0,70,45,100,250,4.5,27,40.4168,-3.7038
Milan,0,1,80,55,120,280,4.4,27,45.4642,9.19
Munich,0,1,80,60,120,280,4.4,23,48.1351,11.582
Oslo,1,0,100,80,160,350,4.1,17,59.9139,10.7522
Paris,0,0,80,50,120,300,4.6,25,48.8566,2.3522
Prague,0,0,50,35,80,200,4.5,25,50.0755,14.4378
Reykjavik,1,0,110,80,150,320,4.2,17,64.1466,-21.9426
Rome,0,0,70,40,100,260,4.7,35,41.9028,12.4964
Seville,0,0,60,40,80,210,4.6,35,37.3891,-5.9845
Stockholm,1,0,90,70,140,310,4.4,20,59.3293,18.0686
Valencia,1,0,60,40,90,220,4.5,37,39.4699,-0.3763
Venice,1,0,80,60,120,280,4.7,30,45.4408,12.3155
Vienna,0,0,70,50,100,250,4.5,26,48.2082,16.3738
Warsaw,0,0,50,30,70,180,4.3,25,52.2297,21.0122
Zagreb,0,0,60,40,80,200,4.2,28,45.815,15.9819
Zurich,0,1,100,80,150,350,4.3,24,47.3769,8.5417